timestamp,setpoint,input,pwm,error,p,i,d
265389.9999999036,58.270805743596576,59.184106488098834,-6.5377420179637635,-0.9133007445022585,10.5,0.0,0.0
265499.99999990355,57.18126297868653,58.206104414552584,-10.3312356564937,-1.0248414358660511,10.5,0.0,0.0
265609.99999990343,55.87785252415203,56.96563678534578,-11.904868712283807,-1.0877842611937467,10.5,0.0,0.0
265719.9999999033,54.39939169992287,55.58625151183852,-13.073447210783645,-1.186859811915646,10.5,0.0,0.0
265829.99999990326,52.78991106185205,54.07585004501476,-14.269859350659114,-1.2859389831627084,10.5,0.0,0.0
265939.99999990314,51.097343112422934,52.444378170557904,-15.242790408722588,-1.3470350581349706,10.5,0.0,0.0
266049.999999903,49.372094806227075,50.73211504807057,-15.757444504428378,-1.3600202418434932,10.5,0.0,0.0
266159.9999999029,47.66554636292358,48.994337878774246,-15.754469491688187,-1.3287915158506678,10.5,0.0,0.0
266269.99999990285,46.02852109505297,47.28666210567324,-15.26129528103363,-1.258141010620264,10.5,0.0,0.0
266379.99999990273,44.50977182129567,45.66071627198949,-14.315187082709274,-1.150944450693821,10.5,0.0,0.0
266489.9999999026,43.154528941828,44.16438541392608,-12.948303215557907,-1.009856472098079,10.5,0.0,0.0
266599.99999990256,42.003153416048306,42.84180987756977,-11.197966380480928,-0.8386564615214667,10.5,0.0,0.0
266709.99999990244,41.08993475881206,41.73230930142534,-9.113846796665737,-0.6423745426132754,10.5,0.0,0.0
266819.9999999023,40.44206985246777,40.86899219132757,-6.757673224646298,-0.4269223388598036,10.5,0.0,0.0
266929.9999999022,40.07885298704768,40.277615125397496,-4.200026962311997,-0.1987621383498137,10.5,0.0,0.0
267039.99999990215,40.01110125030789,39.975795756591936,-1.5173434066151212,0.03530549371595271,10.5,0.0,0.0
267149.99999990204,40.24083238027687,39.97251469260927,1.2104574636226655,0.2683176876675972,10.5,0.0,0.0
267259.9999999019,40.761204674297716,40.26786471626717,3.9021872645304505,0.4933399580305462,10.5,0.0,0.0
267369.99999990186,41.55672074415373,40.85304949819246,6.477711043885328,0.7036712459612673,10.5,0.0,0.0
267479.99999990175,42.60368904917523,41.710642396642015,8.860327827009417,0.893046652533215,10.5,0.0,0.0
267589.9999999016,43.87092946224955,42.815103665397125,10.979074265888999,1.0558257968524245,10.5,0.0,0.0
267699.9999999015,45.320701856027604,44.13354098021227,12.770848225237224,1.1871608758153371,10.5,0.0,0.0
267809.99999990145,46.90983005477779,45.62668938938204,14.182288228670673,1.2831406653957558,10.5,0.0,0.0
267919.99999990134,48.590987679089565,47.25008086538634,15.171360368720315,1.3409068137032278,10.5,0.0,0.0
268029.9999999012,50.31410758923043,48.95536862263401,15.708609060294872,1.3587389665964196,10.5,0.0,0.0
268139.99999990116,52.027872952044234,50.69176690649039,15.778034301152623,1.3361060455538407,10.5,0.0,0.0
268249.99999990105,53.681245525401245,52.40756344175009,15.377568435734005,1.2736820836511527,10.5,0.0,0.0
268359.99999990093,55.22498564583256,54.05165949489018,14.5191378443693,1.1733261509423798,10.5,0.0,0.0
268469.9999999008,56.613118652067996,55.57509166822219,13.228307750047044,1.0380269838458034,10.5,0.0,0.0
268579.99999990076,57.80430407240833,56.93249009790799,11.54352082157914,0.8718139745003413,10.5,0.0,0.0
268689.99999990064,58.76306679968667,58.08342962942882,9.514952287636202,0.6796371702578483,10.5,0.0,0.0
268799.9999999005,59.46085358776935,58.99363373259612,7.203015652512072,0.4672198551732265,10.5,0.0,0.0
268909.9999999004,59.876883405706714,59.63599530260566,4.6765635039589935,0.24088810310105657,10.5,0.0,0.0
269019.99999990035,59.9987663248412,59.99138394618675,2.0108369914953186,0.0073823786544480186,10.5,0.0,0.0
269129.99999990023,59.82287250758053,60.04921571056046,-0.7147749566850146,-0.22634320297993327,10.5,0.0,0.0
269239.9999999001,59.35444030885314,59.807768287838236,-3.4190999433698446,-0.4533279789850937,10.5,0.0,0.0
269349.99999990006,58.607420270838716,59.274232307666715,-6.021599525828557,-0.6668120368279986,10.5,0.0,0.0
